Provincia;Partido;Localidad;Poblacion;ADSL;CABLEMODEM;DIALUP;FIBRAOPTICA;SATELITAL;WIRELESS;TELEFONIAFIJA;3G;4G;link;Latitud;Longitud
BUENOS AIRES;Bahía Blanca;Villa Bordeau;0;--;--;--;--;--;--;--;SI;SI;6056020.0;-38,6472605094596;-62,3200223419024
BUENOS AIRES;Bahía Blanca;Villa Espora;0;--;--;--;--;--;--;--;--;--;6056020.0;-38,7765069529222;-62,1851833537179
BUENOS AIRES;General Las Heras;Lozano;0;--;--;--;--;SI;--;--;--;--;6329020.0;-34,8542796259808;-59,0533451317779
BUENOS AIRES;General Lavalle;Chacras de San Clemente;0;--;--;--;--;--;SI;--;--;--;6336020.0;-36,4080851872455;-56,9433553335054
BUENOS AIRES;Tandil;Desvío Aguirre;0;--;--;--;SI;--;SI;--;SI;SI;6791050.0;-37,.35;-59,
BUENOS AIRES;Berisso;Los Talas;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,9190209219847;-57,7909954962894
BUENOS AIRES;Berisso;Villa Arguello;0;--;--;--;SI;--;SI;--;SI;SI;6098010.0;-34,9053981881099;-57,9180815078165
BUENOS AIRES;Berisso;Villa Dolores;0;--;--;--;--;--;--;--;SI;SI;6098010.0;-34,8802085383888;-57,8663036732616
BUENOS AIRES;Berisso;Villa Independencia;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,8829519743895;-57,8614892695719
BUENOS AIRES;Berisso;Villa Nueva;0;--;--;--;SI;--;SI;--;SI;SI;6098010.0;-34,8957079362353;-57,9108816644737
BUENOS AIRES;Berisso;Villa Porteña;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,891043310448;-57,8963773978494
BUENOS AIRES;Berisso;Villa Progreso;0;--;--;--;SI;--;SI;--;--;--;6098010.0;-34,9308766123633;-57,8468799885622
BUENOS AIRES;Berisso;Villa San Carlos;0;--;--;--;--;--;--;--;SI;SI;6098010.0;-34,8838130805;-57,87701595642
BUENOS AIRES;Berisso;Villa Zula;0;--;--;--;--;--;--;--;--;--;6098010.0;-34,9221646298322;-57,8009664840662
BUENOS AIRES;Bolívar;Mariano Unzué;0;--;--;--;--;--;--;--;--;--;6105060.0;-36,1440485245343;-61,0116010100704
BUENOS AIRES;General Pueyrredón;Estacion Camet;0;--;--;--;--;--;--;--;SI;SI;6357090.0;-37,888665236683;-57,6000121501773
BUENOS AIRES;General Pueyrredón;Punta Mogotes;0;--;--;--;--;--;--;--;SI;SI;6351020.0;-38,0833774287933;-57,5859350936487
BUENOS AIRES;General Rodríguez;Barrio Ruta 24 Kilómetro 10;0;--;--;--;SI;--;--;--;SI;SI;6364030.0;-34,6882159472973;-58,9574297137089
BUENOS AIRES;General Rodríguez;Country Club Bosque Real - Barrio Morabo;0;--;--;--;--;--;--;--;SI;SI;6364030.0;-34,555;-58,935
CHUBUT;Escalante;Km. 11 - Cuarteles;0;--;--;--;--;--;--;--;--;--;26021020.0;-45,7707679612545;-67,4358046744231
CHUBUT;Escalante;KM. 3 - General Mosconi;0;--;--;--;--;--;--;--;SI;SI;26021020.0;-45,8318281251079;-67,4917096424434
CHUBUT;Escalante;KM. 5 - Presidente Ortiz;0;--;--;--;--;--;--;--;--;--;26021020.0;-45,7875522789201;-67,4695736235974
CHUBUT;Escalante;KM. 8 - Don Bosco;0;--;--;--;--;--;--;--;SI;SI;26021020.0;-45,7988982385959;-67,4314970230436
BUENOS AIRES;Mar Chiquita;La Baliza;0;--;--;--;--;--;--;--;SI;SI;6518020.0;-37,7697388275396;-57,450820092514
BUENOS AIRES;Mar Chiquita;La Caleta;0;--;--;--;--;--;SI;--;--;--;6518020.0;-37,7834384978567;-57,4647863685704
BUENOS AIRES;Mar Chiquita;Playa Dorada;0;--;--;--;--;--;SI;--;SI;SI;6518020.0;-37,8730952780707;-57,5218898754931
BUENOS AIRES;Mar Chiquita;Santa Elena;0;--;--;--;--;--;--;--;--;--;6518020.0;-37,8649003626945;-57,5169016362882
BUENOS AIRES;Berisso;Barrio Banco Provincia;0;--;--;--;--;--;--;--;--;SI;6098010.0;-34,8752589900973;-57,8550856662877
BUENOS AIRES;Berisso;Barrio El Carmen (Este);0;--;--;--;SI;--;SI;--;SI;SI;6098010.0;-34,9293102150655;-57,8853552505795
BUENOS AIRES;Berisso;Barrio Universitario;0;--;--;--;--;--;--;--;SI;SI;6098010.0;-34,9027528834433;-57,9270884333304
ENTRE RIOS;Colón;El Colorado;0;--;--;--;--;SI;--;--;SI;SI;30008100.0;-32,1819017485871;-58,1918561863469
BUENOS AIRES;General Pueyrredón;Barrio Colinas Verdes;0;--;--;--;--;--;SI;--;SI;SI;6351020.0;-37,8931024789245;-57,8261645643114
BUENOS AIRES;General Pueyrredón;Barrio El Casal;0;--;--;--;--;--;SI;--;--;--;6357110.0;-37,8324145231571;-57,6311155465986
BUENOS AIRES;General Pueyrredón;Barrio El Coyunco;0;--;--;--;SI;--;SI;--;SI;SI;6357110.0;-37,9050810135269;-57,7391824086455
BUENOS AIRES;General Pueyrredón;Camet;0;SI;--;--;SI;--;SI;SI;SI;SI;6357090.0;-37,9130763908367;-57,552463851894
BUENOS AIRES;Mar Chiquita;Atlantida;0;--;--;--;--;--;--;--;SI;SI;6518020.0;-37,8505519250944;-57,5134595632837
BUENOS AIRES;Mar Chiquita;Camet Norte;0;--;--;--;--;--;--;--;SI;SI;6518020.0;-37,8224325083139;-57,4974692762018
BUENOS AIRES;Mar Chiquita;Frente Mar;0;--;--;--;--;--;--;--;SI;SI;6518020.0;-37,857770246553;-57,5154242437478
BUENOS AIRES;San Nicolás;Campos Salles;0;--;--;--;--;--;--;--;--;--;6763010.0;-33,4010837029564;-60,2846972878391
BUENOS AIRES;San Nicolás;Villa Campi;0;--;--;--;--;--;--;--;SI;--;6763010.0;-33,3599587304228;-60,3000892882903
BUENOS AIRES;San Nicolás;Villa Canto;0;--;--;--;--;--;--;--;SI;SI;6763010.0;-33,3708479748;-60,2954116362263
BUENOS AIRES;San Nicolás;Villa Riccio;0;--;--;--;--;--;--;--;--;--;6763010.0;-33,3630498059477;-60,2953990898749
BUENOS AIRES;San Vicente;Domselaar;0;--;SI;--;--;--;SI;SI;SI;SI;6778020.0;-35,048692550243;-58,3145745868708
ENTRE RIOS;Paraná;Pueblo Moreno;0;--;--;--;--;--;--;--;--;--;30084070.0;-31,5884913847857;-60,0648929343735
BUENOS AIRES;Mercedes;Tomás Jofré;0;--;--;--;--;--;--;--;--;--;6532020.0;-34,698955554941;-59,3194428313109
BUENOS AIRES;Tigre;Nordelta;0;--;SI;--;SI;--;--;SI;SI;SI;6805010.0;-34,4065916;-58,6712671
BUENOS AIRES;Tordillo;Villa Roch;0;--;--;--;--;--;SI;--;SI;SI;6812010.0;-36,4735206430311;-57,3384090004103
CORDOBA;Tulumba;Cerro Colorado;0;--;--;--;--;--;--;--;--;--;14175060.0;-30,096944;-63,931111
ENTRE RIOS;Diamante;Costa Grande;0;--;--;--;--;--;--;--;--;--;30021127.0;-32,1382752741;-60,4330334152
ENTRE RIOS;Diamante;Estacion Puiggari;0;--;--;--;--;--;--;--;--;--;30021140.0;-32,0602299925107;-60,4435729044204
FORMOSA;Formosa;Villa Trinidad;0;--;--;--;--;--;--;--;--;--;34014030.0;-26,1828223055764;-58,1733930549121
MENDOZA;Godoy Cruz;Gobernador Benegas;0;--;--;--;SI;--;--;--;SI;SI;50021010.0;-32,9443750737376;-68,8651880637399
MENDOZA;Godoy Cruz;LAS TORTUGAS;0;--;--;--;SI;--;--;--;SI;SI;50021010.0;-32,9453107154249;-68,8411734730396
MENDOZA;Godoy Cruz;Presidente Sarmiento;0;--;--;--;--;--;--;--;--;--;50021010.0;-32,9171352448748;-68,9190971058586
MENDOZA;Godoy Cruz;SAN FRANCISCO DEL MONTE;0;--;--;--;SI;--;--;--;SI;SI;50021010.0;-32,9301248190877;-68,8333388830804
MENDOZA;Godoy Cruz;Villa Hipodromo;0;--;--;--;SI;--;--;--;SI;SI;50021010.0;-32,9085519196216;-68,8709990197701
MENDOZA;Godoy Cruz;Villa Marini;0;--;--;--;--;--;--;--;SI;SI;50021010.0;-32,9368994348648;-68,8625261619583
MENDOZA;Rivadavia;Cuadro Ortega;0;--;--;--;--;--;--;--;SI;--;50084110.0;-33,282949271283;-68,4657441362603
RIO NEGRO;Bariloche;Villa Campanario;0;--;--;--;--;--;--;--;SI;SI;62021030.0;-41,0649702714092;-71,4726736795373
RIO NEGRO;Bariloche;Villa Llao Llao;0;SI;--;--;--;--;--;SI;SI;SI;62021030.0;-41,0697604387258;-71,5396513534561
SAN JUAN;Rawson;Villa Krause;0;--;--;--;--;--;SI;--;SI;SI;70077020.0;-31,583718555606;-68,5410817167198
SAN JUAN;Santa Lucía;Alto De Sierra;0;--;--;--;--;--;SI;--;SI;SI;70098010.0;-31,5265278957606;-68,4106014181706
SAN JUAN;Santa Lucía;Colonia Gutierrez;0;--;--;--;--;--;--;--;SI;SI;70098010.0;-31,5173968715659;-68,4546487927052
SAN LUIS;Junín;Bajo De Veliz;0;--;--;--;--;--;--;--;--;--;74049020.0;-32,31398017;-65,41102538
SAN LUIS;Junín;Balde De Escudero;0;--;--;--;--;--;--;--;--;--;74049050.0;-32,09212653;-65,56649133
SAN LUIS;Junín;Cerrito Blanco;0;--;--;--;--;--;--;--;--;--;74049080.0;-32,2359503198865;-65,2293786067878
SAN LUIS;Junín;El Duraznito;0;--;--;--;--;--;--;--;--;--;74049040.0;-32,31004;-65,27742028
SAN LUIS;Junín;La Chilca;0;--;--;--;--;--;--;--;--;--;74049040.0;-32,41118937;-65,30673087
SAN LUIS;Junín;La Lomita;0;--;--;--;--;--;--;--;--;--;74049050.0;-32,0611870301487;-65,2978339370276
SAN LUIS;Junín;Las Palomas;0;--;--;--;--;--;--;--;--;--;74049050.0;-32,06323545;-65,4731808
SAN LUIS;Junín;Los Lobos;0;--;--;--;--;--;--;--;--;--;74049040.0;-32,46252534;-65,26989048
SAN LUIS;Junín;Ojo Del Rio;0;--;--;--;--;--;--;--;--;--;74049040.0;-32,43187893;-65,20010896
SAN LUIS;Junín;Santa Ana;0;--;--;--;--;--;--;--;--;--;74049050.0;-32,0392215406428;-65,3934632838914
TUCUMAN;Cruz Alta;Barrio Aeropuerto;0;--;--;--;--;--;--;--;SI;SI;90014090.0;-26,8489;-65,1311
TUCUMAN;Cruz Alta;El Corte;0;--;--;--;--;--;--;--;--;SI;90014090.0;-26,8184460052552;-65,1556778939315
TUCUMAN;Cruz Alta;El Paraiso;0;--;--;--;--;--;--;--;SI;SI;90014090.0;-26,8346473974393;-65,0955588658241
TUCUMAN;Cruz Alta;Ex Ingenio Esperanza;0;--;--;--;--;--;--;--;SI;SI;90014090.0;-26,8440192084768;-65,0924758564779
TUCUMAN;Cruz Alta;Ex Ingenio Los Ralos;0;--;--;--;--;--;--;--;--;--;90014070.0;-26,8770998455409;-64,9748987513019
TUCUMAN;Cruz Alta;Ex Ingenio Lujan;0;--;--;--;--;--;--;--;--;--;90014090.0;-26,8541670602329;-65,0915199952372
TUCUMAN;Cruz Alta;Ingenio La Florida;0;--;--;--;--;--;--;--;SI;SI;90014090.0;-26,8167179154155;-65,0802671019889
TUCUMAN;Cruz Alta;Lastenia;0;--;--;--;--;--;--;--;SI;SI;90014090.0;-26,8621611908602;-65,1625825810305
TUCUMAN;Cruz Alta;Los Gutierrez;0;--;--;--;--;--;--;--;SI;SI;90014090.0;-26,80204642135;-65,1258766860824
TUCUMAN;Cruz Alta;Villa Recaste;0;--;--;--;--;--;--;--;SI;SI;90014090.0;-26,8868084047256;-65,0074356034814
TUCUMAN;Cruz Alta;Villa Tercera;0;--;--;--;--;--;--;--;--;--;90014090.0;-26,8914692726412;-65,0131822116958
TUCUMAN;Famaillá;Ex Ingenio Nueva Baviera;0;--;--;--;--;--;--;--;SI;SI;90028020.0;-27,0697371751242;-65,3999011552298
TUCUMAN;Lules;Barrio Araujo;0;--;--;--;--;--;--;--;SI;SI;90063040.0;-26,8418175731977;-65,2753559359172
TUCUMAN;Río Chico;Ingenio Santa Barbara;0;--;--;--;--;--;--;--;SI;SI;90077020.0;-27,4557975105898;-65,6064955796251
TUCUMAN;Yerba Buena;Cevil Redondo;0;--;--;--;--;--;--;--;SI;SI;90119030.0;-26,7789639578912;-65,2853208416875
TUCUMAN;Yerba Buena;Country Jockey Club;0;--;--;--;--;--;--;--;--;--;90119010.0;-26,7629680018015;-65,3079476709365
TUCUMAN;Yerba Buena;EX INGENIO SAN JOSE;0;--;--;--;--;--;--;--;SI;SI;90119030.0;-26,7992050305522;-65,2646764135868
TUCUMAN;Yerba Buena;Villa San Javier;0;--;--;--;--;--;--;--;SI;SI;90119010.0;-26,7825946807861;-65,3595657348633
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base Belgrano Ii;0;--;--;--;--;--;--;--;--;--;;-77,8740088546501;-34,6265601051448
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base Brown;0;--;--;--;--;--;--;--;--;--;;-64,8953481540258;-62,8705378154324
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base Carlini;0;--;--;--;--;--;--;--;--;--;;-62,2383693073102;-58,6675435788796
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base Esperanza;0;--;--;--;--;--;--;--;--;SI;;-63,3973928907224;-56,997322458775
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base Marambio;0;--;--;--;--;--;--;--;SI;SI;;-64,2406140561753;-56,6250959571072
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base Matienzo;0;--;--;--;--;--;--;--;--;--;;-64,9758620236943;-60,0706791228407
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base Orcadas;0;--;--;--;--;--;--;--;--;--;;-60,737817304161;-44,7376600159669
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Base San Martin;0;--;--;--;--;--;--;--;--;--;;-68,1300703213167;-67,101329501464
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Destacamento Camara;0;--;--;--;--;--;--;--;--;--;;-62,5943496603855;-59,9190536260268
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Destacamento Decepcion;0;--;--;--;--;--;--;--;--;--;;-62,9753323251602;-60,6982227022535
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Destacamento Melchior;0;--;--;--;--;--;--;--;--;--;;-64,3256059503534;-62,9763657702779
TIERRA DEL FUEGO;ANTARTIDA ARGENTINA;Destacamento Petrel;0;--;--;--;--;--;--;--;--;--;;-63,4779032552796;-56,2281462316807
SANTA FE;La Capital;RINCON NORTE;0;--;--;--;--;--;--;--;--;--;82063070.0;-31,5644326802115;-60,414954582383
SANTA FE;La Capital;Villa Adelina;0;--;--;--;--;--;--;--;SI;SI;82063070.0;-31,7077603088951;-60,7883380397856
SAN LUIS;La Capital;Los Algarrobos Blancos;0;--;--;--;--;--;--;--;SI;SI;74056070.0;-33,3374661935332;-66,3624600489592
SAN LUIS;La Capital;Pozo Del Carril;0;--;--;--;--;--;--;--;--;--;74056110.0;-33,2004979408856;-66,3528238194471
SAN LUIS;La Capital;San Roque;0;--;--;--;--;--;--;--;SI;SI;74056070.0;-33,2720248979515;-66,2276619762377
SAN LUIS;La Capital;Santa Rosa;0;--;--;--;--;--;--;--;--;--;74056070.0;-33,6369138718007;-66,4190419424644
SAN LUIS;La Capital;Varela;0;--;--;--;--;--;SI;--;--;--;74056140.0;-34,12261759;-66,46370684
SAN LUIS;Libertador Grl. San Martín;Barranca Alta;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,3300123695206;-65,6358594482736
SAN LUIS;Libertador Grl. San Martín;Cabeza De Novillo;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,38119255;-65,38616592
SAN LUIS;Libertador Grl. San Martín;Casa De Los Tigres;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,32432436;-65,55541004
SAN LUIS;Libertador Grl. San Martín;El Estanquito;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,512546681399;-65,768145317185
SAN LUIS;Libertador Grl. San Martín;El Paraguay;0;--;--;--;--;--;--;--;--;--;74063020.0;-32,7635126293313;-65,6587252495687
SAN LUIS;Libertador Grl. San Martín;El Paraiso;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,57970728;-65,68763951
SAN LUIS;Libertador Grl. San Martín;El Puesto;0;--;--;--;--;--;SI;--;--;--;74063050.0;-32,34642911;-65,46720015
SAN LUIS;Libertador Grl. San Martín;La Cocha;0;--;--;--;--;--;--;--;--;--;74063010.0;-32,62628611;-65,4195124
SAN LUIS;Libertador Grl. San Martín;La Ramada;0;--;--;--;--;--;SI;--;--;--;74063020.0;-32,69361676;-65,57906863
SAN LUIS;Libertador Grl. San Martín;La Totora;0;--;--;--;--;--;--;--;--;--;74063020.0;-32,68103703;-65,81152823
SAN LUIS;Libertador Grl. San Martín;Planta De Sandia;0;--;--;--;--;--;--;--;--;--;74063020.0;-32,76799349;-65,54885162
SAN LUIS;Libertador Grl. San Martín;Puerta Colorada;0;--;--;--;--;--;--;--;--;--;74063010.0;-32,53456755;-65,39953581
SAN LUIS;Libertador Grl. San Martín;Rincon Del Carmen;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,4615843296251;-65,4800247653516
SAN LUIS;Libertador Grl. San Martín;San Fernando;0;--;--;--;--;--;--;--;--;--;74063020.0;-32,71332748;-65,6864429
SAN LUIS;Libertador Grl. San Martín;San Isidro;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,5346535061633;-65,5271625081663
SAN LUIS;Libertador Grl. San Martín;San Vicente;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,30836924;-65,69101867
SAN LUIS;Libertador Grl. San Martín;Tala Verde;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,40896557;-65,56209159
SANTA FE;9 de Julio;Campo Garay;0;--;--;--;--;--;--;--;--;--;82077020.0;-29,6911529704255;-61,6024410919082
SANTA FE;9 de Julio;Independencia;0;--;--;--;--;--;--;--;--;--;82077020.0;-29,3710772;-61,755619
SANTA FE;Castellanos;Estacion Presidente Roca;0;--;--;--;--;--;--;--;--;--;82021420.0;-31,2319180453244;-61,6101076012158
SAN JUAN;Pocito;La Rinconada;0;--;--;--;--;--;--;--;SI;SI;70070010.0;-31,6952378674877;-68,5923025771378
SAN JUAN;Pocito;Villa Aberastain;0;--;--;--;--;--;SI;--;SI;SI;70070010.0;-31,65701277213;-68,573608949336
SAN JUAN;Pocito;Villa Barboza;0;--;--;--;--;--;--;--;SI;SI;70070010.0;-31,5921799746836;-68,5723924425069
SAN JUAN;Pocito;Villa Nacusi;0;--;--;--;--;--;--;--;--;--;70070010.0;-31,6219383886537;-68,5359580395485
SAN JUAN;Rawson;El Medanito;0;--;--;--;--;--;SI;--;SI;--;70077010.0;-31,583482529045;-68,4697872532749
SALTA;Metán;El Tunal;0;--;--;--;SI;SI;--;--;--;SI;66112020.0;-25,2652645771513;-64,4061042227155
SALTA;Orán;La Misión;0;--;--;--;--;--;--;--;--;--;66126010.0;-23,3154629033465;-64,4077092056574
SAN LUIS;Ayacucho;Balde De Los Torres;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,0273284154145;-66,1023162055029
SAN LUIS;Ayacucho;Balde Del Carmen;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,27812976;-66,16172942
SAN LUIS;Ayacucho;Balde Retamo;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,1071837607464;-65,9591283364498
SAN LUIS;Ayacucho;Baldecito De La Pampa;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,34825343;-66,20247477
SAN LUIS;Ayacucho;Carpinteria;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,55476157;-66,09236842
SAN LUIS;Ayacucho;El Calden;0;--;--;--;--;--;--;--;--;--;74007070.0;-31,9013529041554;-65,8545481796961
SAN LUIS;Ayacucho;El Injerto;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,22815945;-65,69191327
SAN LUIS;Ayacucho;El Rincon;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,6556521;-66,20161387
SAN LUIS;Ayacucho;El Vinagrillo;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,4018573;-66,02362281
SAN LUIS;Ayacucho;El Zapallar;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,28351144;-65,80227972
SAN LUIS;Ayacucho;La Aguada;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,28028097;-65,83553852
SAN LUIS;Ayacucho;La Avenencia;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,24501781;-66,41237917
SAN LUIS;Ayacucho;La Botija;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,23779512;-66,57895642
SAN LUIS;Ayacucho;La Brea;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,218073280756;-65,8748842663651
SAN LUIS;Ayacucho;La Majada;0;--;--;--;--;--;SI;--;--;--;74007010.0;-32,5298829031211;-66,0429032510053
SAN LUIS;Ayacucho;La Represita;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,1611532404767;-65,6840749663906
SAN LUIS;Ayacucho;La Salvadora;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,28620178;-66,732734
SAN LUIS;Ayacucho;Las Chacras;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,63547762;-66,14025792
SAN LUIS;Ayacucho;Las Chimbas;0;--;--;--;--;--;--;--;--;--;74007050.0;-32,1565177184576;-66,5511142613289
SAN LUIS;Ayacucho;Las Lagunitas;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,02753784;-66,24032971
SAN LUIS;Ayacucho;Lomas Blancas;0;--;--;--;--;--;SI;--;--;--;74007010.0;-32,3338629051211;-66,4716765323555
SAN LUIS;Ayacucho;Los Quemados;0;--;--;--;--;--;--;--;--;--;74007070.0;-31,8916077583343;-65,731320177862
SAN LUIS;Ayacucho;Pampa Grande;0;--;--;--;SI;--;--;--;--;--;74007010.0;-32,3724224723278;-66,3077548668586
SAN LUIS;Ayacucho;Pozo Del Molle;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,53991654;-66,1496998
SAN LUIS;Ayacucho;Río Juan Gómez;0;--;--;--;--;--;SI;--;--;--;74007010.0;-32,603889;-66,086944
SAN LUIS;Ayacucho;Rodeo De Cadenas;0;--;--;--;--;--;--;--;--;--;74007010.0;-32,7015629614775;-66,1900873349156
SAN LUIS;Chacabuco;Balcarce;0;--;--;--;--;--;--;--;--;--;74028030.0;-32,5633976217563;-65,0315307446834
SAN LUIS;Chacabuco;Colonia Zubelzu;0;--;--;--;--;--;--;--;--;--;74028020.0;-33,01855146;-65,13148933
SAN LUIS;Chacabuco;El Algarrobal;0;--;--;--;SI;--;--;--;--;--;74028020.0;-32,7114393924943;-65,4671947070394
SAN LUIS;Chacabuco;El Churrasco;0;--;--;--;--;--;--;--;--;--;74028080.0;-32,60479851;-65,18870622
SAN LUIS;Chacabuco;El Recuerdo;0;--;--;--;--;--;--;--;--;--;74028030.0;-32,7089534025051;-65,0012860131932
SAN LUIS;Chacabuco;El Sauce;0;--;--;--;--;--;--;--;--;--;74028080.0;-32,52248319;-65,23578125
SAN LUIS;Chacabuco;El Sifon;0;--;--;--;--;--;--;--;--;--;74028080.0;-32,5851934079751;-65,2377611303891
SAN LUIS;Chacabuco;El Tala;0;--;--;--;--;--;--;--;--;--;74028020.0;-32,93460754;-65,15713108
SAN LUIS;Chacabuco;La Celestina;0;--;--;--;--;--;--;--;--;--;74028020.0;-32,84352609;-65,21504978
SAN LUIS;Chacabuco;Las Rosas;0;--;--;--;--;--;--;--;--;--;74028030.0;-32,602006;-65,05370603
SAN LUIS;Chacabuco;Pozo Cavado;0;--;--;--;--;--;--;--;--;--;74028030.0;-32,5788404639064;-65,161517865176
SAN LUIS;Chacabuco;Punta De La Loma;0;--;--;--;--;--;--;--;--;--;74028030.0;-32,6849107237951;-65,0788264408136
SAN LUIS;Chacabuco;San Felipe;0;--;--;--;--;--;--;--;--;--;74028020.0;-32,80964342;-65,46121169
SAN LUIS;Chacabuco;San Miguel;0;--;--;--;--;--;--;--;--;--;74028020.0;-32,8898231742815;-65,042421189722
SAN LUIS;Chacabuco;Santa Martina;0;--;--;--;--;--;--;--;--;--;74028030.0;-32,51637957;-65,12347967
SAN LUIS;Ayacucho;San Ignacio;0;--;--;--;--;--;--;--;--;--;74007070.0;-32,0866257032099;-66,0888231134367
SAN LUIS;Ayacucho;San Miguel;0;--;--;--;--;SI;--;--;--;--;74007070.0;-32,14116477;-65,81342262
